Suburb,Postcode,Level,School,approx,dist_m,dist_m_round,label,Rcodes_list,Top_rcode,Top_rcode_pct,in_bushfire_prone,pct_overlap
Alexander Heights,6064,Primary,Dianella Heights Primary School,TRUE,3513.098431,3513,Dianella Heights Primary School (approx ~3513 m),,R20,,TRUE,33.50593439
Alexander Heights,6064,Secondary,Carine Senior High School,TRUE,5501.851192,5502,Carine Senior High School (approx ~5502 m),,R20,,TRUE,33.50593439
Alfred Cove,6154,Primary,Manning Primary School,TRUE,3097.689181,3098,Manning Primary School (approx ~3098 m),"R20 (47.8%), R40 (3.1%), R60 (0.4%), R50 (0.1%)",R20,47.8,TRUE,4.174329086
Alfred Cove,6154,Secondary,Applecross Senior High School,FALSE,,,Applecross Senior High School,"R20 (47.8%), R40 (3.1%), R60 (0.4%), R50 (0.1%)",R20,47.8,TRUE,4.174329086
Alfred Cove,6154,Secondary,Melville Senior High School,FALSE,,,Melville Senior High School,"R20 (47.8%), R40 (3.1%), R60 (0.4%), R50 (0.1%)",R20,47.8,TRUE,4.174329086
Alkimos,6038,Secondary,Duncraig Senior High School,TRUE,18749.53381,18750,Duncraig Senior High School (approx ~18750 m),,R20,,TRUE,73.85229886
Anketell,6167,Primary,Manning Primary School,TRUE,19543.10224,19543,Manning Primary School (approx ~19543 m),,R20,,TRUE,89.71421269
Anketell,6167,Secondary,Leeming Senior High School,TRUE,13466.68338,13467,Leeming Senior High School (approx ~13467 m),,R20,,TRUE,89.71421269
Applecross,6153,Primary,Como Primary School,TRUE,122.0278893,122,Como Primary School (approx ~122 m),"R15 (14.6%), R20 (4.7%), R12.5 (4.3%), R-AC0 (1.9%), R60 (1.4%), R40 (0.8%), R30 (0.3%), R40/60 (0.3%)",R15,14.6,TRUE,1.469058209
Applecross,6153,Secondary,Applecross Senior High School,FALSE,,,Applecross Senior High School,"R15 (14.6%), R20 (4.7%), R12.5 (4.3%), R-AC0 (1.9%), R60 (1.4%), R40 (0.8%), R30 (0.3%), R40/60 (0.3%)",R15,14.6,TRUE,1.469058209
Ardross,6153,Primary,Manning Primary School,TRUE,1182.132299,1182,Manning Primary School (approx ~1182 m),"R20 (7.6%), R40 (3.1%), R100 (0.2%), R-AC0 (0.0%)",R20,7.6,TRUE,22.30696375
Ardross,6153,Secondary,Applecross Senior High School,FALSE,,,Applecross Senior High School,"R20 (7.6%), R40 (3.1%), R100 (0.2%), R-AC0 (0.0%)",R20,7.6,TRUE,22.30696375
Armadale,6112,Primary,Manning Primary School,TRUE,16628.45095,16628,Manning Primary School (approx ~16628 m),"R-AC0 (5.0%), R15/40 (3.4%), R25/60 (3.2%), R15/60 (2.6%), R40 (2.3%), R15/25 (0.0%)",R-AC0,5,TRUE,8.981285695
Armadale,6112,Secondary,Leeming Senior High School,TRUE,12335.84485,12336,Leeming Senior High School (approx ~12336 m),"R-AC0 (5.0%), R15/40 (3.4%), R25/60 (3.2%), R15/60 (2.6%), R40 (2.3%), R15/25 (0.0%)",R-AC0,5,TRUE,8.981285695
Ascot,6104,Primary,Maylands Peninsula Primary School,TRUE,70.18591975,70,Maylands Peninsula Primary School (approx ~70 m),,R10,,TRUE,28.32796117
Ascot,6104,Secondary,John Forrest Secondary College,TRUE,37.51474561,38,John Forrest Secondary College (approx ~38 m),,R10,,TRUE,28.32796117
